symbol,fundingTime,fundingRate
SOLUSDT,1694448000001,-6.124e-05
BLZUSDT,1694376000000,-0.00368839
BLZUSDT,1694390400000,-0.00198034
BLZUSDT,1694404800000,-0.01167184
BLZUSDT,1694419200000,-0.01109125
BLZUSDT,1694433600000,-0.01084063
BLZUSDT,1694448000001,-0.025
BLZUSDT,1694462400000,-0.01216891
COMBOUSDT,1694390400000,4.304e-05
COMBOUSDT,1694419200000,3.398e-05
COMBOUSDT,1694448000001,0.0001
GMTUSDT,1694390400000,-5.691e-05
GMTUSDT,1694419200000,-4.78e-06
GMTUSDT,1694448000001,2.168e-05
MDTUSDT,1694390400000,-3.627e-05
MDTUSDT,1694419200000,-7.259e-05
MDTUSDT,1694448000001,9.263e-05
XVSUSDT,1694390400000,0.0001
XVSUSDT,1694419200000,9.183e-05
XVSUSDT,1694448000001,0.0001
GMXUSDT,1694390400000,-9.4e-05
GMXUSDT,1694419200000,0.0001
GMXUSDT,1694448000001,9.875e-05
BANDUSDT,1694390400000,9.741e-05
BANDUSDT,1694419200000,0.0001
BANDUSDT,1694448000001,0.0001
LDOUSDT,1694390400000,6.189e-05
LDOUSDT,1694419200000,9.063e-05
LDOUSDT,1694448000001,5.909e-05
XRPUSDT,1694390400000,2.615e-05
XRPUSDT,1694419200000,-1.029e-05
XRPUSDT,1694448000001,-5.829e-05
FTTUSDT,1694390400000,0.0001
FTTUSDT,1694419200000,0.0001
FTTUSDT,1694448000001,0.0001
CRVUSDT,1694390400000,9.351e-05
CRVUSDT,1694419200000,9.005e-05
CRVUSDT,1694448000001,-0.00013161
BELUSDT,1694390400000,0.0001
BELUSDT,1694419200000,0.0001
BELUSDT,1694448000001,0.0001
DOTUSDT,1694390400000,-0.00016602
DOTUSDT,1694419200000,-0.00024075
DOTUSDT,1694448000001,-0.00028654
ONEUSDT,1694390400000,-4.05e-06
ONEUSDT,1694419200000,0.0001
ONEUSDT,1694448000001,0.0001
APTUSDT,1694390400000,-0.00027959
APTUSDT,1694419200000,-0.00015685
APTUSDT,1694448000001,-0.00014607
SEIUSDT,1694390400000,-0.00045152
SEIUSDT,1694419200000,-0.00036731
SEIUSDT,1694448000001,-0.00043526
ANKRUSDT,1694390400000,9.947e-05
ANKRUSDT,1694419200000,-0.00017847
ANKRUSDT,1694448000001,4.09e-05
MAVUSDT,1694390400000,5.491e-05
MAVUSDT,1694419200000,5.914e-05
MAVUSDT,1694448000001,6.459e-05
RAYUSDT,1694390400000,0.0001
RAYUSDT,1694419200000,0.0001
RAYUSDT,1694448000001,0.0001
API3USDT,1694390400000,2.619e-05
API3USDT,1694419200000,1.573e-05
API3USDT,1694448000001,0.0001
CVCUSDT,1694390400000,0.0001
CVCUSDT,1694419200000,0.0001
CVCUSDT,1694448000001,0.0001
ASTRUSDT,1694390400000,0.0001
ASTRUSDT,1694419200000,-2.281e-05
ASTRUSDT,1694448000001,5.852e-05
HOTUSDT,1694390400000,0.0001
HOTUSDT,1694419200000,9.446e-05
HOTUSDT,1694448000001,6.998e-05
QTUMUSDT,1694390400000,-1.557e-05
QTUMUSDT,1694419200000,5.052e-05
QTUMUSDT,1694448000001,0.0001
IOTAUSDT,1694390400000,0.0001
IOTAUSDT,1694419200000,0.0001
IOTAUSDT,1694448000001,0.0001
ADAUSDT,1694390400000,-5.843e-05
ADAUSDT,1694419200000,-8.618e-05
ADAUSDT,1694448000001,4.7e-07
LITUSDT,1694390400000,0.0001
LITUSDT,1694419200000,0.0001
LITUSDT,1694448000001,0.0001
YFIUSDT,1694390400000,0.0001
YFIUSDT,1694419200000,-6.485e-05
YFIUSDT,1694448000001,-6.478e-05
ETHUSDT,1694390400000,4.838e-05
ETHUSDT,1694419200000,5.747e-05
ETHUSDT,1694448000001,-6.25e-06
ALPHAUSDT,1694390400000,-9.678e-05
ALPHAUSDT,1694419200000,9.489e-05
ALPHAUSDT,1694448000001,0.0001
WOOUSDT,1694390400000,8.409e-05
WOOUSDT,1694419200000,3.414e-05
WOOUSDT,1694448000001,8.411e-05
SFPUSDT,1694390400000,-0.00022147
SFPUSDT,1694419200000,-0.00013776
SFPUSDT,1694448000001,-5.89e-05
RLCUSDT,1694390400000,0.0001
RLCUSDT,1694419200000,-2.73e-05
RLCUSDT,1694448000001,5.839e-05
BTCSTUSDT,1694390400000,0.0001
BTCSTUSDT,1694419200000,0.0001
BTCSTUSDT,1694448000001,0.0001
1000XECUSDT,1694390400000,-3.675e-05
1000XECUSDT,1694419200000,-2.911e-05
1000XECUSDT,1694448000001,1.853e-05
FXSUSDT,1694390400000,-0.00013481
FXSUSDT,1694419200000,5.42e-05
FXSUSDT,1694448000001,4.926e-05
CFXUSDT,1694390400000,3.171e-05
CFXUSDT,1694419200000,0.0001
CFXUSDT,1694448000001,-1.53e-05
AUDIOUSDT,1694390400000,0.0001
AUDIOUSDT,1694419200000,-1.64e-05
AUDIOUSDT,1694448000001,8.564e-05
IDUSDT,1694390400000,3.54e-06
IDUSDT,1694419200000,5.863e-05
IDUSDT,1694448000001,-4.827e-05
HFTUSDT,1694390400000,-9.098e-05
HFTUSDT,1694419200000,-6.8e-06
HFTUSDT,1694448000001,6.295e-05
NEOUSDT,1694390400000,0.0001
NEOUSDT,1694419200000,9.302e-05
NEOUSDT,1694448000001,6.978e-05
UNFIUSDT,1694390400000,-0.00033083
UNFIUSDT,1694419200000,-0.00324335
UNFIUSDT,1694448000001,-0.00083314
SANDUSDT,1694390400000,5.796e-05
SANDUSDT,1694419200000,4.496e-05
SANDUSDT,1694448000001,7.632e-05
CTKUSDT,1694390400000,-0.00014398
CTKUSDT,1694419200000,-3.362e-05
CTKUSDT,1694448000001,0.0001
LINKUSDT,1694390400000,2.78e-05
LINKUSDT,1694419200000,2.958e-05
LINKUSDT,1694448000001,-9.063e-05
MINAUSDT,1694390400000,6.718e-05
MINAUSDT,1694419200000,0.0001
MINAUSDT,1694448000001,4.311e-05
CELRUSDT,1694390400000,0.0001
CELRUSDT,1694419200000,0.0001
CELRUSDT,1694448000001,0.0001
AGLDUSDT,1694390400000,0.0001
AGLDUSDT,1694419200000,7.06e-05
AGLDUSDT,1694448000001,1.547e-05
RSRUSDT,1694390400000,0.0001
RSRUSDT,1694419200000,0.0001
RSRUSDT,1694448000001,0.0001
RENUSDT,1694390400000,0.0001
RENUSDT,1694419200000,-5.221e-05
RENUSDT,1694448000001,0.0001
LPTUSDT,1694390400000,-0.00042694
LPTUSDT,1694419200000,-0.00041598
LPTUSDT,1694448000001,-0.00015131
JASMYUSDT,1694390400000,-8.027e-05
JASMYUSDT,1694419200000,9.181e-05
JASMYUSDT,1694448000001,9.651e-05
PHBUSDT,1694390400000,6.505e-05
PHBUSDT,1694419200000,-2.134e-05
PHBUSDT,1694448000001,3.037e-05
YGGUSDT,1694390400000,-0.00010591
YGGUSDT,1694419200000,-1.971e-05
YGGUSDT,1694448000001,-2.819e-05
EGLDUSDT,1694390400000,-0.00010361
EGLDUSDT,1694419200000,-8.52e-05
EGLDUSDT,1694448000001,9.167e-05
LUNA2USDT,1694390400000,0.0001
LUNA2USDT,1694419200000,0.0001
LUNA2USDT,1694448000001,0.0001
ONTUSDT,1694390400000,9.641e-05
ONTUSDT,1694419200000,0.0001
ONTUSDT,1694448000001,0.0001
VETUSDT,1694390400000,0.0001
VETUSDT,1694419200000,8.735e-05
VETUSDT,1694448000001,-0.00012501
IMXUSDT,1694390400000,8.018e-05
IMXUSDT,1694419200000,2.11e-06
IMXUSDT,1694448000001,7.189e-05
LQTYUSDT,1694390400000,0.0001
LQTYUSDT,1694419200000,0.0001
LQTYUSDT,1694448000001,5.168e-05
COTIUSDT,1694390400000,0.0001
COTIUSDT,1694419200000,0.0001
COTIUSDT,1694448000001,0.0001
CVXUSDT,1694390400000,0.0001
CVXUSDT,1694419200000,0.0001
CVXUSDT,1694448000001,0.0001
ARBUSDT,1694390400000,3.118e-05
ARBUSDT,1694419200000,3.21e-06
ARBUSDT,1694448000001,-2.37e-06
BAKEUSDT,1694390400000,0.0001
BAKEUSDT,1694419200000,0.0001
BAKEUSDT,1694448000001,0.0001
GRTUSDT,1694390400000,-0.00012204
GRTUSDT,1694419200000,6.911e-05
GRTUSDT,1694448000001,0.0001
FLMUSDT,1694390400000,-0.00012094
FLMUSDT,1694419200000,4.62e-06
FLMUSDT,1694448000001,-0.00055418
MASKUSDT,1694390400000,4.849e-05
MASKUSDT,1694419200000,9.43e-05
MASKUSDT,1694448000001,5.501e-05
EOSUSDT,1694390400000,-4.071e-05
EOSUSDT,1694419200000,0.0001
EOSUSDT,1694448000001,-3.457e-05
BALUSDT,1694390400000,-5.714e-05
BALUSDT,1694419200000,5.482e-05
BALUSDT,1694448000001,0.0001
COCOSUSDT,1694390400000,0.0001
COCOSUSDT,1694419200000,0.0001
COCOSUSDT,1694448000001,0.0001
SUIUSDT,1694390400000,-0.00013369
